SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1564,,,0.14,-0.025,-0.018,-0.013,0.012,-0.018,-0.053,-0.009,0.018,0.021,0.087,0.067,0.057,0.008,-0.022,-0.053,-0.046,-0.003,0.007,0.002,-0.018
1565,,,0.2,-0.002,-0.007,-0.018,-0.011,-0.036,-0.061,-0.036,0.004,0.063,0.132,0.088,0.053,0.011,-0.029,-0.06,-0.068,-0.032,-0.022,0.004,0.03
1566,,,0.233,-0.034,-0.031,-0.024,0.007,-0.034,-0.083,-0.028,0.014,0.055,0.15,0.114,0.096,0.018,-0.022,-0.067,-0.067,-0.022,-0.013,-0.012,-0.018
1567,,,0.205,-0.012,-0.012,-0.019,-0.007,-0.035,-0.068,-0.033,0.006,0.062,0.136,0.095,0.066,0.013,-0.027,-0.061,-0.069,-0.033,-0.023,-0.002,0.024
1568,,,0.218,-0.024,-0.023,-0.02,-0.003,-0.033,-0.074,-0.029,0.01,0.057,0.144,0.104,0.079,0.013,-0.027,-0.063,-0.066,-0.023,-0.013,-0.004,-0.007
1569,,,0.176,-0.01,-0.017,-0.024,-0.01,-0.034,-0.059,-0.021,0.012,0.033,0.109,0.086,0.077,0.04,0.006,-0.037,-0.067,-0.048,-0.038,-0.013,0.019
1570,,,0.117,-0.024,-0.015,-0.007,0.016,-0.014,-0.053,-0.017,0.004,0.007,0.064,0.054,0.057,0.026,0.002,-0.022,-0.024,0.008,0.005,-0.013,-0.052
1571,,,0.133,-0.026,-0.018,-0.01,0.017,-0.01,-0.04,0,0.022,0.022,0.076,0.051,0.04,-0.009,-0.036,-0.057,-0.052,0.002,0.018,0.014,-0.005
1572,,,0.293,-0.053,-0.048,-0.034,0.005,-0.044,-0.108,-0.037,0.009,0.047,0.185,0.158,0.158,0.05,0.009,-0.048,-0.063,-0.038,-0.046,-0.05,-0.051
1573,,,0.178,-0.04,-0.028,-0.015,0.026,-0.018,-0.064,-0.018,0.007,-0.009,0.09,0.076,0.114,0.038,0.017,-0.03,-0.036,-0.027,-0.021,-0.032,-0.03
1574,,,0.114,-0.019,-0.013,-0.008,0.009,-0.015,-0.039,-0.005,0.018,0.02,0.069,0.045,0.036,0,-0.027,-0.045,-0.04,0.007,0.016,0.008,-0.018
1575,,,0.108,-0.008,-0.005,-0.006,0.005,-0.01,-0.023,0,0.02,0.028,0.053,0.026,0.011,-0.011,-0.039,-0.055,-0.048,0,0.016,0.027,0.019
1576,,,0.297,-0.044,-0.038,-0.029,0.011,-0.045,-0.121,-0.045,0,0.028,0.176,0.162,0.17,0.057,0.02,-0.045,-0.063,-0.041,-0.049,-0.054,-0.048
1577,,,0.107,-0.004,-0.002,-0.005,0.002,-0.01,-0.018,-0.001,0.018,0.031,0.052,0.021,-0.002,-0.014,-0.043,-0.055,-0.048,0.005,0.022,0.031,0.019
1578,,,0.264,-0.029,-0.029,-0.029,0.001,-0.045,-0.103,-0.04,0.001,0.045,0.161,0.137,0.128,0.04,-0.001,-0.052,-0.052,-0.018,-0.016,-0.035,-0.063
