SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
427,,,0.257,-0.041,-0.037,-0.029,-0.001,-0.042,-0.089,-0.032,0.011,0.055,0.168,0.134,0.117,0.034,-0.007,-0.055,-0.063,-0.029,-0.029,-0.03,-0.035
428,,,0.102,-0.012,-0.008,-0.008,0.004,-0.017,-0.04,-0.019,-0.001,0.006,0.055,0.041,0.038,0.034,0.015,-0.009,-0.024,0.004,0,-0.013,-0.047
429,,,0.142,-0.004,-0.008,-0.015,-0.011,-0.035,-0.058,-0.035,-0.015,-0.005,0.078,0.077,0.084,0.074,0.045,0.012,-0.031,-0.033,-0.041,-0.039,-0.042
430,,,0.161,0.028,0.026,0.011,-0.023,0.001,0.043,-0.005,-0.006,0.02,-0.003,-0.035,-0.082,-0.005,-0.027,-0.02,-0.043,-0.014,0.003,0.051,0.079
431,,,0.195,-0.007,-0.009,-0.01,0.005,-0.022,-0.055,-0.024,0.011,0.057,0.115,0.07,0.043,-0.01,-0.046,-0.077,-0.08,-0.035,-0.015,0.021,0.067
432,,,0.181,0.01,0.007,0.002,-0.001,-0.011,-0.016,-0.009,0.02,0.074,0.071,0.014,-0.03,-0.049,-0.083,-0.093,-0.074,-0.009,0.025,0.063,0.088
433,,,0.191,0.016,0.022,0.009,-0.024,0.009,0.062,0.015,0.015,0.047,-0.016,-0.062,-0.125,-0.043,-0.06,-0.031,-0.024,0.029,0.047,0.066,0.046
434,,,0.153,0.041,0.034,-0.001,-0.055,-0.023,0.018,-0.074,-0.07,0.022,0.057,0.023,-0.035,0.079,0.044,0.039,-0.015,-0.022,-0.03,-0.008,-0.024
435,,,0.233,-0.06,-0.047,-0.027,0.015,-0.023,-0.079,-0.021,0.001,-0.013,0.122,0.127,0.154,0.083,0.044,-0.013,-0.046,-0.048,-0.056,-0.059,-0.055
436,,,0.249,0.039,0.033,0.011,-0.019,-0.002,0.028,-0.008,0.009,0.074,0.032,-0.03,-0.101,-0.056,-0.089,-0.083,-0.077,-0.014,0.019,0.086,0.148
437,,,0.135,0.024,0.025,0.013,-0.008,0.006,0.028,-0.015,-0.008,0.035,0.012,-0.03,-0.074,-0.028,-0.053,-0.047,-0.042,0.011,0.031,0.058,0.061
438,,,0.166,-0.002,-0.002,-0.006,0.002,-0.016,-0.036,-0.018,0.014,0.066,0.088,0.039,0.009,-0.025,-0.059,-0.078,-0.069,-0.012,0.011,0.038,0.053
439,,,0.201,0.018,0.028,0.018,-0.008,0.019,0.063,0.017,0.011,0.026,-0.039,-0.079,-0.127,-0.043,-0.059,-0.033,-0.027,0.031,0.052,0.074,0.059
440,,,0.209,-0.011,-0.013,-0.019,0,-0.04,-0.088,-0.04,-0.009,0.002,0.105,0.104,0.121,0.069,0.035,-0.013,-0.043,-0.039,-0.046,-0.041,-0.035
441,,,0.264,-0.053,-0.047,-0.033,0.006,-0.04,-0.093,-0.027,0.015,0.052,0.171,0.141,0.133,0.035,-0.003,-0.057,-0.062,-0.03,-0.026,-0.037,-0.046
442,,,0.185,0.005,0.003,-0.005,-0.006,-0.024,-0.039,-0.022,0.012,0.072,0.104,0.048,0.003,-0.026,-0.064,-0.081,-0.07,-0.016,0.011,0.039,0.058
443,,,0.218,-0.02,-0.019,-0.018,-0.003,-0.029,-0.059,-0.028,0.013,0.072,0.14,0.091,0.058,-0.005,-0.045,-0.078,-0.075,-0.026,-0.007,0.011,0.027
444,,,0.288,-0.055,-0.05,-0.036,0.006,-0.039,-0.103,-0.031,0.018,0.051,0.185,0.154,0.143,0.042,-0.007,-0.059,-0.066,-0.028,-0.026,-0.041,-0.056
445,,,0.193,-0.015,-0.014,-0.015,0.013,-0.026,-0.073,-0.027,0.009,0.046,0.12,0.086,0.073,0,-0.035,-0.072,-0.071,-0.022,-0.001,0.007,0.018
446,,,0.159,0.013,0.018,0.013,0.001,0.01,0.032,0.011,0.018,0.036,-0.01,-0.049,-0.088,-0.041,-0.061,-0.05,-0.042,0.015,0.039,0.065,0.071
447,,,0.195,-0.019,-0.021,-0.027,-0.016,-0.043,-0.071,-0.03,0.005,0.03,0.124,0.106,0.098,0.06,0.023,-0.016,-0.052,-0.047,-0.047,-0.036,-0.022
448,,,0.203,-0.02,-0.017,-0.016,0.005,-0.032,-0.077,-0.034,-0.001,0.035,0.126,0.098,0.091,0.025,-0.012,-0.052,-0.051,-0.013,-0.005,-0.016,-0.033
449,,,0.158,-0.007,-0.007,-0.013,-0.009,-0.034,-0.061,-0.032,-0.004,0.012,0.097,0.083,0.078,0.05,0.015,-0.02,-0.046,-0.035,-0.032,-0.022,-0.012
450,,,0.221,-0.017,-0.02,-0.025,-0.004,-0.039,-0.08,-0.034,0.007,0.053,0.141,0.108,0.089,0.023,-0.018,-0.058,-0.06,-0.022,-0.01,-0.011,-0.025
451,,,0.12,-0.011,-0.011,-0.016,-0.006,-0.023,-0.038,-0.025,-0.015,-0.012,0.071,0.073,0.076,0.071,0.039,-0.003,-0.044,-0.039,-0.04,-0.028,-0.017
452,,,0.108,-0.002,0.003,0.001,0.005,0.001,0.004,0.008,0.019,0.028,0.028,-0.003,-0.029,-0.027,-0.055,-0.06,-0.047,0.01,0.03,0.048,0.038
453,,,0.204,-0.024,-0.025,-0.021,0,-0.033,-0.072,-0.03,0.009,0.048,0.132,0.1,0.088,0.022,-0.017,-0.057,-0.058,-0.016,-0.008,-0.011,-0.027
454,,,0.244,-0.026,-0.027,-0.032,-0.008,-0.05,-0.097,-0.039,-0.003,0.011,0.143,0.133,0.147,0.081,0.044,-0.015,-0.047,-0.048,-0.054,-0.057,-0.058
455,,,0.229,-0.026,-0.028,-0.027,-0.017,-0.047,-0.082,-0.04,0.003,0.035,0.147,0.127,0.121,0.064,0.023,-0.027,-0.057,-0.047,-0.044,-0.043,-0.036
456,,,0.257,-0.072,-0.058,-0.03,0.029,-0.027,-0.1,-0.008,0.027,0.013,0.147,0.138,0.157,0.037,0.002,-0.051,-0.05,-0.021,-0.017,-0.044,-0.073
457,,,0.262,-0.036,-0.029,-0.02,0.016,-0.032,-0.1,-0.034,0.009,0.042,0.162,0.134,0.129,0.018,-0.028,-0.082,-0.077,-0.04,-0.028,-0.012,0.008
458,,,0.209,-0.02,-0.019,-0.019,-0.002,-0.033,-0.075,-0.035,0.003,0.045,0.134,0.101,0.086,0.024,-0.015,-0.054,-0.054,-0.013,-0.007,-0.013,-0.031
459,,,0.128,0.007,0.01,-0.002,-0.008,0.001,0.025,0.006,0.007,0.017,0.003,-0.014,-0.032,0.008,-0.021,-0.032,-0.053,-0.026,-0.007,0.037,0.075
460,,,0.145,0.016,0.021,0.011,-0.006,0.007,0.034,0.008,0.013,0.029,-0.005,-0.043,-0.082,-0.037,-0.062,-0.049,-0.038,0.023,0.045,0.063,0.052
461,,,0.271,-0.04,-0.036,-0.03,0.006,-0.041,-0.099,-0.038,0.005,0.048,0.172,0.144,0.133,0.035,-0.007,-0.062,-0.062,-0.031,-0.029,-0.03,-0.038
462,,,0.209,-0.036,-0.034,-0.029,-0.006,-0.032,-0.062,-0.027,0.009,0.053,0.147,0.11,0.089,0.031,-0.01,-0.054,-0.06,-0.024,-0.017,-0.018,-0.03
463,,,0.177,-0.016,-0.016,-0.02,-0.002,-0.029,-0.059,-0.028,0.005,0.05,0.118,0.085,0.067,0.016,-0.022,-0.059,-0.059,-0.014,-0.006,-0.001,-0.01
464,,,0.107,-0.012,-0.006,-0.005,0.006,-0.009,-0.021,0,0.018,0.025,0.052,0.027,0.014,-0.008,-0.038,-0.055,-0.047,0.002,0.017,0.025,0.015
465,,,0.281,0.023,0.007,-0.018,-0.02,-0.062,-0.118,-0.097,-0.054,0.042,0.163,0.138,0.123,0.091,0.047,-0.01,-0.054,-0.055,-0.058,-0.051,-0.036
466,,,0.288,-0.041,-0.045,-0.036,0,-0.05,-0.107,-0.036,0.008,0.047,0.181,0.154,0.154,0.049,0.005,-0.054,-0.058,-0.027,-0.03,-0.046,-0.066
467,,,0.106,0.007,0.005,-0.007,-0.013,-0.015,-0.008,-0.012,0.004,0.027,0.049,0.023,-0.002,0.016,-0.017,-0.032,-0.054,-0.03,-0.016,0.022,0.052
468,,,0.24,-0.037,-0.033,-0.027,0,-0.034,-0.072,-0.026,0.013,0.061,0.161,0.12,0.095,0.019,-0.021,-0.067,-0.079,-0.046,-0.037,-0.012,0.021
469,,,0.171,-0.009,-0.011,-0.022,-0.014,-0.04,-0.066,-0.033,-0.002,0.02,0.105,0.092,0.09,0.062,0.026,-0.014,-0.048,-0.045,-0.046,-0.03,-0.015
470,,,0.221,-0.027,-0.026,-0.025,-0.003,-0.036,-0.074,-0.033,0.005,0.05,0.147,0.113,0.097,0.025,-0.016,-0.059,-0.06,-0.021,-0.012,-0.015,-0.03
471,,,0.273,0.035,0.029,0.011,-0.007,-0.007,0.007,-0.01,0.014,0.074,0.048,-0.013,-0.074,-0.062,-0.094,-0.097,-0.092,-0.032,0.008,0.084,0.176
472,,,0.188,-0.016,-0.015,-0.014,0.007,-0.026,-0.068,-0.033,0,0.042,0.12,0.086,0.076,0.011,-0.026,-0.058,-0.056,-0.01,0.002,-0.001,-0.018
473,,,0.145,0.022,0.022,0.008,-0.007,0.004,0.027,-0.008,0.002,0.047,0.018,-0.027,-0.076,-0.037,-0.068,-0.065,-0.051,0.012,0.04,0.069,0.066
474,,,0.111,0.007,0.006,-0.003,-0.012,-0.013,-0.012,-0.024,-0.005,0.044,0.062,0.026,-0.008,0.002,-0.027,-0.039,-0.049,-0.014,-0.005,0.021,0.042
475,,,0.227,-0.021,-0.023,-0.018,0.005,-0.035,-0.089,-0.039,0.001,0.038,0.138,0.112,0.105,0.026,-0.011,-0.056,-0.051,-0.014,-0.01,-0.017,-0.042
476,,,0.257,-0.038,-0.034,-0.025,0.004,-0.038,-0.096,-0.038,0.007,0.047,0.161,0.13,0.124,0.036,-0.004,-0.056,-0.059,-0.023,-0.017,-0.032,-0.048
477,,,0.224,-0.016,-0.017,-0.022,-0.003,-0.043,-0.093,-0.042,-0.009,0.007,0.117,0.116,0.131,0.075,0.039,-0.012,-0.046,-0.042,-0.049,-0.047,-0.043
478,,,0.281,-0.036,-0.034,-0.026,0.004,-0.039,-0.105,-0.039,0.005,0.049,0.176,0.143,0.136,0.039,-0.004,-0.06,-0.08,-0.055,-0.047,-0.028,0.002
479,,,0.234,-0.027,-0.027,-0.024,-0.003,-0.038,-0.08,-0.033,0.011,0.061,0.154,0.116,0.093,0.021,-0.022,-0.069,-0.067,-0.023,-0.016,-0.011,-0.017
480,,,0.138,0.006,0.012,0.008,-0.001,0.008,0.031,0.009,0.016,0.036,0.003,-0.036,-0.08,-0.033,-0.056,-0.046,-0.041,0.014,0.036,0.058,0.056
481,,,0.143,-0.003,-0.007,-0.018,-0.014,-0.036,-0.056,-0.029,-0.001,0.023,0.087,0.071,0.07,0.055,0.02,-0.012,-0.044,-0.037,-0.037,-0.022,-0.011
482,,,0.255,-0.032,-0.033,-0.023,0.006,-0.04,-0.095,-0.036,0.005,0.041,0.16,0.13,0.122,0.028,-0.012,-0.055,-0.059,-0.023,-0.016,-0.026,-0.043
483,,,0.244,-0.013,-0.018,-0.025,-0.002,-0.045,-0.105,-0.045,-0.009,0.003,0.127,0.124,0.139,0.074,0.043,-0.009,-0.042,-0.042,-0.045,-0.054,-0.056
484,,,0.164,-0.021,-0.015,-0.013,0.004,-0.022,-0.054,-0.029,-0.002,0.035,0.11,0.08,0.063,0.017,-0.02,-0.048,-0.049,-0.009,-0.001,-0.003,-0.022
485,,,0.256,-0.037,-0.033,-0.028,0.006,-0.038,-0.094,-0.031,0.01,0.049,0.162,0.128,0.118,0.03,-0.009,-0.059,-0.064,-0.034,-0.027,-0.028,-0.021
486,,,0.214,-0.02,-0.021,-0.025,-0.006,-0.043,-0.087,-0.038,-0.005,0.007,0.115,0.113,0.127,0.078,0.044,-0.002,-0.039,-0.044,-0.052,-0.051,-0.051
487,,,0.111,-0.011,-0.008,-0.007,0.006,-0.011,-0.028,-0.001,0.019,0.027,0.056,0.032,0.019,-0.008,-0.038,-0.055,-0.045,0.003,0.017,0.022,0.008
488,,,0.242,-0.026,-0.023,-0.022,0.008,-0.036,-0.096,-0.037,0.002,0.04,0.146,0.122,0.115,0.03,-0.011,-0.056,-0.06,-0.027,-0.022,-0.022,-0.024
489,,,0.124,-0.023,-0.018,-0.007,0.014,-0.009,-0.039,0,0.022,0.022,0.067,0.046,0.04,-0.004,-0.033,-0.057,-0.051,-0.001,0.012,0.015,0.003
490,,,0.151,0.007,0.005,-0.006,-0.007,-0.017,-0.024,-0.019,0.008,0.061,0.079,0.032,-0.005,-0.019,-0.055,-0.072,-0.065,-0.008,0.014,0.041,0.048
491,,,0.124,-0.011,-0.008,-0.006,0.003,-0.016,-0.035,-0.006,0.017,0.029,0.07,0.041,0.026,-0.004,-0.035,-0.054,-0.047,0.002,0.017,0.018,-0.001
492,,,0.125,-0.017,-0.017,-0.019,-0.004,-0.018,-0.029,-0.012,-0.002,-0.004,0.07,0.066,0.065,0.057,0.026,-0.02,-0.055,-0.043,-0.035,-0.016,0.005
493,,,0.244,-0.032,-0.032,-0.029,-0.002,-0.038,-0.085,-0.031,0.012,0.057,0.159,0.124,0.11,0.026,-0.018,-0.066,-0.066,-0.027,-0.023,-0.019,-0.021
494,,,0.137,-0.02,-0.014,-0.006,0.009,-0.01,-0.033,-0.002,0.022,0.028,0.074,0.045,0.031,-0.01,-0.043,-0.063,-0.055,-0.003,0.014,0.022,0.014
495,,,0.24,-0.023,-0.023,-0.019,0.004,-0.039,-0.096,-0.038,0.002,0.044,0.144,0.118,0.111,0.026,-0.013,-0.053,-0.054,-0.018,-0.013,-0.021,-0.04
496,,,0.226,-0.02,-0.016,-0.009,0.02,-0.037,-0.103,-0.04,-0.005,0.025,0.123,0.106,0.118,0.023,-0.008,-0.049,-0.048,-0.009,-0.008,-0.024,-0.041
497,,,0.197,0.045,0.035,0.005,-0.032,-0.015,0.016,-0.013,0.007,0.056,0.024,-0.023,-0.076,-0.017,-0.048,-0.047,-0.064,-0.032,-0.005,0.062,0.121
498,,,0.168,0.02,0.015,-0.002,-0.016,-0.018,-0.012,-0.023,0.005,0.066,0.08,0.025,-0.03,-0.022,-0.057,-0.07,-0.073,-0.021,-0.003,0.043,0.095
499,,,0.118,0.003,-0.001,-0.014,-0.02,-0.026,-0.025,-0.02,0,0.023,0.07,0.049,0.03,0.04,0.004,-0.021,-0.048,-0.033,-0.025,-0.001,0.016
500,,,0.155,-0.007,-0.01,-0.021,-0.014,-0.036,-0.058,-0.027,0.001,0.024,0.097,0.084,0.077,0.054,0.016,-0.022,-0.053,-0.045,-0.04,-0.021,0.001
501,,,0.212,0.01,0.018,0.011,-0.011,0.016,0.062,0.021,0.025,0.052,-0.016,-0.068,-0.124,-0.05,-0.073,-0.054,-0.045,0.015,0.044,0.08,0.088
502,,,0.191,-0.019,-0.017,-0.014,0.005,-0.028,-0.07,-0.028,0.007,0.05,0.121,0.086,0.074,0.01,-0.028,-0.064,-0.064,-0.02,-0.006,0.003,-0.001
503,,,0.276,-0.055,-0.05,-0.036,0.004,-0.04,-0.095,-0.028,0.019,0.058,0.181,0.143,0.138,0.036,-0.007,-0.062,-0.068,-0.03,-0.025,-0.036,-0.047
504,,,0.166,-0.011,-0.01,-0.011,-0.001,-0.026,-0.057,-0.035,-0.004,0.039,0.109,0.078,0.059,0.02,-0.014,-0.045,-0.053,-0.018,-0.012,-0.003,-0.005
505,,,0.268,-0.034,-0.031,-0.026,0.012,-0.041,-0.11,-0.038,0.005,0.039,0.158,0.131,0.136,0.038,0,-0.053,-0.057,-0.024,-0.019,-0.037,-0.049
506,,,0.107,-0.016,-0.007,-0.004,0.011,-0.004,-0.008,0,0.016,0.022,0.048,0.011,0.018,-0.002,-0.028,-0.052,-0.053,-0.023,-0.003,0.022,0.054
507,,,0.12,-0.008,-0.01,-0.017,-0.013,-0.03,-0.044,-0.022,0.001,0.016,0.076,0.065,0.06,0.053,0.022,-0.009,-0.042,-0.034,-0.033,-0.022,-0.011
508,,,0.17,-0.026,-0.022,-0.013,0.016,-0.025,-0.076,-0.018,0.008,0.008,0.094,0.084,0.091,0.025,-0.006,-0.036,-0.035,0.003,0.006,-0.021,-0.058
509,,,0.159,-0.013,-0.014,-0.02,-0.007,-0.031,-0.059,-0.026,0,0.008,0.1,0.088,0.088,0.053,0.018,-0.024,-0.054,-0.04,-0.039,-0.022,-0.007
510,,,0.247,-0.024,-0.023,-0.02,0.01,-0.038,-0.106,-0.045,-0.004,0.03,0.141,0.127,0.133,0.04,0.002,-0.049,-0.05,-0.017,-0.016,-0.032,-0.058
511,,,0.13,0.005,0,-0.014,-0.019,-0.034,-0.042,-0.029,-0.004,0.027,0.082,0.061,0.045,0.045,0.01,-0.018,-0.048,-0.036,-0.033,-0.009,0.01
512,,,0.296,-0.034,-0.034,-0.024,0.017,-0.047,-0.125,-0.05,-0.003,0.032,0.171,0.154,0.164,0.045,0.007,-0.046,-0.058,-0.035,-0.036,-0.049,-0.048
513,,,0.155,-0.008,-0.006,-0.01,-0.003,-0.017,-0.033,-0.023,0.001,0.042,0.095,0.057,0.03,0.006,-0.027,-0.05,-0.06,-0.024,-0.017,0.01,0.04
514,,,0.196,-0.021,-0.021,-0.022,-0.008,-0.038,-0.077,-0.032,0.002,0.02,0.119,0.106,0.108,0.06,0.022,-0.022,-0.053,-0.045,-0.044,-0.035,-0.02
515,,,0.248,-0.031,-0.028,-0.026,0.006,-0.038,-0.089,-0.033,0.012,0.05,0.159,0.124,0.106,0.022,-0.021,-0.069,-0.066,-0.026,-0.014,-0.016,-0.02
516,,,0.152,0.008,0.001,-0.014,-0.017,-0.033,-0.046,-0.033,0.001,0.063,0.1,0.058,0.028,0.006,-0.03,-0.052,-0.052,-0.005,0.01,0.013,-0.007
517,,,0.203,-0.02,-0.019,-0.021,-0.001,-0.033,-0.066,-0.028,0.01,0.06,0.135,0.096,0.074,0.009,-0.032,-0.066,-0.068,-0.023,-0.009,0.001,0.002
518,,,0.197,-0.026,-0.024,-0.015,0.012,-0.025,-0.076,-0.031,0,0.028,0.121,0.098,0.09,0.025,-0.012,-0.049,-0.047,-0.01,-0.002,-0.014,-0.042
519,,,0.143,-0.023,-0.015,-0.012,0.014,-0.019,-0.058,-0.012,0.016,0.016,0.085,0.066,0.065,0.006,-0.023,-0.051,-0.042,0,0.011,0,-0.027
520,,,0.139,0.008,0.013,0,-0.01,0.005,0.038,0.012,0.011,0.02,-0.008,-0.029,-0.054,-0.003,-0.029,-0.034,-0.053,-0.022,0,0.048,0.085
521,,,0.146,-0.01,-0.012,-0.02,-0.009,-0.03,-0.051,-0.024,0,0.011,0.092,0.08,0.076,0.052,0.017,-0.024,-0.054,-0.039,-0.034,-0.018,-0.004
522,,,0.248,-0.027,-0.026,-0.019,0.009,-0.035,-0.097,-0.038,0,0.039,0.151,0.12,0.118,0.031,-0.01,-0.055,-0.063,-0.029,-0.025,-0.022,-0.021
523,,,0.143,-0.001,-0.005,-0.018,-0.019,-0.036,-0.051,-0.031,-0.004,0.023,0.092,0.073,0.063,0.054,0.019,-0.014,-0.046,-0.037,-0.035,-0.02,-0.008
524,,,0.123,0.007,0.003,-0.01,-0.016,-0.027,-0.027,-0.016,0.007,0.038,0.066,0.039,0.019,0.021,-0.013,-0.032,-0.057,-0.039,-0.027,0.011,0.051
525,,,0.177,-0.01,-0.014,-0.023,-0.018,-0.043,-0.067,-0.033,-0.001,0.028,0.11,0.096,0.091,0.062,0.024,-0.015,-0.047,-0.043,-0.046,-0.032,-0.02
526,,,0.126,0.003,-0.002,-0.016,-0.017,-0.031,-0.042,-0.025,-0.001,0.021,0.078,0.061,0.052,0.046,0.012,-0.019,-0.048,-0.035,-0.032,-0.012,0.009
527,,,0.243,-0.029,-0.031,-0.027,-0.002,-0.041,-0.086,-0.033,0.005,0.051,0.157,0.123,0.11,0.035,-0.007,-0.055,-0.061,-0.029,-0.024,-0.026,-0.029
528,,,0.105,-0.004,0.002,0.001,0.007,-0.004,-0.014,0.004,0.024,0.031,0.043,0.006,-0.017,-0.029,-0.056,-0.062,-0.048,0.01,0.03,0.041,0.034
529,,,0.137,-0.019,-0.015,-0.009,0.012,-0.018,-0.056,-0.011,0.019,0.027,0.081,0.059,0.054,0.004,-0.028,-0.054,-0.051,-0.003,0.009,0.006,-0.007
530,,,0.205,0.023,0.018,0,-0.015,-0.019,-0.015,-0.02,0.01,0.077,0.082,0.02,-0.036,-0.035,-0.072,-0.085,-0.081,-0.03,0,0.058,0.12
531,,,0.285,0.008,-0.007,-0.026,-0.025,-0.063,-0.111,-0.091,-0.05,0.045,0.174,0.148,0.132,0.1,0.057,0.001,-0.047,-0.054,-0.066,-0.063,-0.061
532,,,0.163,-0.014,-0.014,-0.014,-0.002,-0.025,-0.052,-0.025,0.004,0.045,0.108,0.074,0.05,0.012,-0.025,-0.055,-0.053,-0.008,0.001,0.005,-0.013
533,,,0.266,-0.032,-0.031,-0.018,0.018,-0.037,-0.111,-0.04,0.002,0.032,0.155,0.13,0.134,0.03,-0.009,-0.058,-0.054,-0.018,-0.018,-0.03,-0.046
534,,,0.107,-0.024,-0.016,-0.004,0.018,-0.012,-0.045,-0.009,0.008,0.008,0.062,0.047,0.046,0.016,-0.009,-0.031,-0.034,0.005,0.009,-0.003,-0.032
535,,,0.17,-0.004,-0.004,-0.009,-0.005,-0.024,-0.044,-0.028,0.001,0.053,0.104,0.063,0.035,0.002,-0.034,-0.06,-0.066,-0.028,-0.015,0.015,0.045
536,,,0.248,-0.026,-0.026,-0.023,-0.001,-0.042,-0.091,-0.04,0.001,0.045,0.157,0.124,0.117,0.036,-0.008,-0.059,-0.057,-0.023,-0.017,-0.024,-0.041
537,,,0.196,0.004,0,-0.008,-0.004,-0.02,-0.035,-0.021,0.013,0.07,0.108,0.053,0.011,-0.022,-0.062,-0.088,-0.087,-0.038,-0.012,0.04,0.1
538,,,0.208,-0.022,-0.02,-0.019,0.004,-0.031,-0.075,-0.034,0.003,0.049,0.133,0.101,0.087,0.019,-0.018,-0.057,-0.062,-0.027,-0.019,-0.011,-0.002
539,,,0.212,-0.035,-0.03,-0.023,-0.001,-0.028,-0.065,-0.029,0.004,0.043,0.147,0.113,0.09,0.026,-0.012,-0.055,-0.064,-0.033,-0.026,-0.017,-0.006
540,,,0.132,-0.027,-0.021,-0.018,0.004,-0.014,-0.03,-0.008,0.002,-0.002,0.074,0.067,0.069,0.05,0.017,-0.027,-0.058,-0.04,-0.032,-0.013,0.008
541,,,0.273,-0.054,-0.048,-0.034,0.003,-0.042,-0.093,-0.026,0.016,0.055,0.18,0.146,0.135,0.036,-0.007,-0.061,-0.065,-0.03,-0.024,-0.035,-0.05
542,,,0.184,-0.023,-0.023,-0.025,-0.007,-0.039,-0.071,-0.028,0.006,0.025,0.113,0.102,0.105,0.055,0.021,-0.019,-0.051,-0.044,-0.045,-0.034,-0.019
543,,,0.157,-0.007,-0.007,-0.01,-0.003,-0.022,-0.048,-0.029,0.002,0.051,0.098,0.063,0.042,0.005,-0.031,-0.059,-0.054,-0.009,0.005,0.012,0.002
544,,,0.203,-0.028,-0.024,-0.018,0.002,-0.028,-0.071,-0.028,0.006,0.049,0.132,0.098,0.084,0.018,-0.019,-0.057,-0.06,-0.021,-0.009,-0.01,-0.016
545,,,0.171,-0.001,-0.002,-0.01,-0.005,-0.022,-0.038,-0.023,0.009,0.063,0.099,0.054,0.02,-0.01,-0.048,-0.072,-0.071,-0.024,-0.005,0.028,0.055
546,,,0.267,-0.027,-0.027,-0.018,0.015,-0.041,-0.115,-0.048,-0.002,0.029,0.152,0.133,0.144,0.038,0.003,-0.046,-0.055,-0.024,-0.026,-0.035,-0.049
547,,,0.118,-0.014,-0.013,-0.017,-0.006,-0.016,-0.019,-0.013,-0.004,-0.004,0.065,0.058,0.054,0.055,0.021,-0.019,-0.053,-0.04,-0.033,-0.012,0.011
548,,,0.173,-0.008,-0.011,-0.019,-0.013,-0.033,-0.051,-0.018,0.013,0.038,0.101,0.079,0.067,0.035,-0.011,-0.052,-0.072,-0.051,-0.035,0.003,0.04
549,,,0.256,-0.034,-0.031,-0.024,0,-0.04,-0.088,-0.034,0.008,0.057,0.168,0.127,0.113,0.026,-0.014,-0.062,-0.072,-0.046,-0.041,-0.023,0.009
550,,,0.175,-0.005,-0.007,-0.014,-0.004,-0.03,-0.059,-0.033,0.002,0.056,0.112,0.075,0.056,0.009,-0.031,-0.063,-0.059,-0.016,-0.003,0.006,0.007
551,,,0.274,-0.033,-0.03,-0.025,0.005,-0.043,-0.105,-0.044,0.002,0.04,0.169,0.139,0.136,0.041,-0.001,-0.05,-0.061,-0.037,-0.035,-0.036,-0.032
552,,,0.259,-0.046,-0.04,-0.026,0.007,-0.039,-0.098,-0.029,0.013,0.046,0.161,0.134,0.131,0.033,-0.006,-0.057,-0.059,-0.022,-0.019,-0.032,-0.052
553,,,0.191,-0.031,-0.029,-0.018,0.014,-0.022,-0.064,-0.02,-0.007,-0.023,0.089,0.099,0.127,0.071,0.038,-0.022,-0.051,-0.045,-0.04,-0.038,-0.026
554,,,0.276,-0.037,-0.036,-0.026,0.016,-0.044,-0.115,-0.034,0.011,0.033,0.161,0.14,0.151,0.032,-0.005,-0.06,-0.058,-0.021,-0.021,-0.032,-0.055
555,,,0.107,-0.026,-0.017,-0.007,0.016,-0.011,-0.044,-0.01,0.007,0.006,0.063,0.048,0.047,0.023,-0.001,-0.024,-0.029,0.005,0.007,-0.01,-0.041
556,,,0.159,0.013,0.01,-0.003,-0.01,-0.018,-0.018,-0.02,0.008,0.065,0.082,0.028,-0.017,-0.023,-0.059,-0.072,-0.072,-0.023,0,0.042,0.087
557,,,0.291,-0.049,-0.049,-0.036,0.01,-0.043,-0.102,-0.038,-0.012,-0.024,0.142,0.157,0.189,0.114,0.078,0.009,-0.041,-0.055,-0.066,-0.085,-0.098
558,,,0.279,-0.051,-0.048,-0.03,0.007,-0.036,-0.106,-0.035,0.007,0.04,0.173,0.151,0.146,0.045,0.007,-0.046,-0.056,-0.027,-0.028,-0.046,-0.068
559,,,0.114,-0.024,-0.016,-0.009,0.014,-0.012,-0.044,-0.01,0.013,0.014,0.07,0.05,0.045,0.015,-0.012,-0.035,-0.038,0.001,0.006,-0.002,-0.024
560,,,0.205,-0.021,-0.017,-0.016,0.004,-0.031,-0.076,-0.038,0.001,0.044,0.129,0.098,0.085,0.025,-0.009,-0.047,-0.057,-0.028,-0.029,-0.017,-0.001
561,,,0.223,0.037,0.035,0.006,-0.034,0.001,0.06,0.006,0.003,0.035,-0.017,-0.053,-0.105,-0.011,-0.042,-0.034,-0.054,-0.022,0.003,0.067,0.118
562,,,0.217,-0.024,-0.025,-0.018,0.007,-0.03,-0.078,-0.03,0.006,0.05,0.139,0.106,0.089,0.013,-0.028,-0.069,-0.064,-0.016,-0.006,-0.004,-0.016
563,,,0.118,-0.01,-0.01,-0.016,0.001,-0.021,-0.042,-0.025,-0.012,-0.015,0.067,0.067,0.076,0.065,0.036,-0.005,-0.042,-0.035,-0.037,-0.027,-0.014
564,,,0.219,-0.021,-0.019,-0.015,0.006,-0.031,-0.078,-0.034,0.005,0.049,0.141,0.108,0.087,0.015,-0.025,-0.069,-0.076,-0.041,-0.033,-0.005,0.035
